#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:08:49.887 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401870)\execution_log.txt ...
[29-04-2024T01:08:49.888 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:08:49.888 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:08:49.888 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:08:49.889 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:08:49.889 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:08:49.889 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:08:50.764 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:08:50.764 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:08:50.768 | main] INFO       ... Browser tab (FFF393527FFAFFB31A41A044BA576797) allocated to the Home Page page ...
[29-04-2024T01:08:53.140 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:08:53.310 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:09:06.128 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:09:06.129 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:09:18.607 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:09:18.607 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:09:36.037 | main] INFO       ... Clicked on subcategory: Financial Crime Compliance ...
[29-04-2024T01:09:36.038 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:09:36.528 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:09:36.529 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:09:36.529 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:09:37.058 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:09:37.293 | main] INFO       ... WebDriver killed ...
